Age,EducationYears,HoursPerWeek,Experience,Income
37,12,44,12,0
46,19,58,33,1
53,10,54,24,0
46,11,22,6,0
36,17,56,3,1
62,13,49,7,1
63,19,57,19,1
43,15,53,28,1
44,8,31,9,0
26,17,38,33,0
25,15,56,25,1
43,18,36,2,0
52,14,29,5,0
48,8,31,4,0
62,9,35,4,0
41,10,43,22,0
45,8,38,8,0
47,16,27,34,0
40,15,50,19,1
26,9,40,34,0
36,16,36,17,0
39,14,42,16,1
60,16,56,23,1
39,13,35,2,0
41,13,25,31,0
47,18,27,34,0
59,11,44,37,0
26,17,37,12,0
20,17,44,24,1
51,9,31,8,0
32,14,34,3,0
49,12,45,13,0
42,18,45,36,1
38,13,51,33,1
51,9,29,10,0
49,12,35,2,0
48,17,26,27,0
64,11,36,28,0
48,16,42,8,1
49,13,45,2,1
35,9,40,24,0
59,8,41,33,0
38,12,26,11,0
37,16,33,8,0
20,13,34,14,0
33,17,26,39,0
21,19,28,24,0
47,14,27,4,0
49,12,42,10,0
57,17,48,33,1
23,13,37,23,0
20,12,50,14,0
27,18,49,37,1
48,16,58,7,1
58,13,54,4,1
22,18,37,25,0
51,15,58,17,1
29,9,36,5,0
29,19,33,36,0
38,16,50,12,1
53,12,43,27,0
52,14,54,4,1
42,17,53,12,1
47,8,22,16,0
51,17,56,39,1
26,12,59,31,0
48,19,45,28,1
27,17,42,2,1
20,9,58,39,0
22,19,34,33,0
43,13,23,39,0
42,18,48,26,1
27,8,41,12,0
56,10,44,32,0
22,12,32,5,0
52,11,37,23,0
47,10,52,18,0
27,17,35,15,0
53,12,21,39,0
54,18,54,27,1
51,15,53,32,1
43,18,49,12,1
33,11,32,24,0
51,8,32,35,0
62,18,37,26,0
35,14,51,37,1
23,15,51,6,1
56,10,54,4,0
40,13,58,30,1
33,9,48,22,0
50,14,48,9,1
37,15,35,31,0
26,13,29,29,0
29,13,49,38,1
26,12,44,30,0
52,15,58,17,1
42,8,39,35,0
40,17,24,1,0
38,11,20,13,0
38,11,49,12,0
55,10,22,28,0
48,10,33,11,0
37,11,49,38,0
21,18,23,1,0
20,8,37,31,0
24,18,56,12,1
39,18,44,26,1
30,9,20,16,0
61,16,34,39,0
21,17,28,30,0
22,9,34,33,0
42,12,43,23,0
31,16,23,34,0
39,16,31,5,0
24,15,56,18,1
56,8,56,29,0
57,8,25,6,0
49,16,58,9,1
28,18,43,31,1
53,15,30,33,0
